
4021947.44,712735.52,"14-WB-219",7,24,,,
4021889.27,712688.29,"14-WB-116",16,22,,,
4120838.35,670255.03,"14-LP-196",3,31,6,,
4120865.66,670261.27,"14-LP-197",3,31,6,,
4120888.25,670273.52,"14-LP-201",,31,6,,
4120892.49,670280.00,"14-LP-7",,31,6,,
4120551.76,669793.25,"14-LP-8",3,,,,
4120997.47,670273.08,"14-LP-9",,31,1,,
4121334.14,670153.35,"14-LP-10",7,31,1,,
4025030.00,717470.00,"17-WB-1",15,15,,,
4025030.00,717470.00,"17-WB-1a",15,21,,,
4025030.00,717470.00,"17-WB-1b",15,21,,,
4025030.00,717470.00,"17-WB-1c",15,21,,,
4025010.00,717442.00,"17-WB-2",13,21,,,
4025010.00,717442.00,"17-WB-2a",13,21,,,
4025010.00,717442.00,"17-WB-2b",13,15,,,
4024980.00,717286.00,"17-WB-3",,,,,
4022990.00,714726.00,"17-WB-4",7,,,,
4022990.00,714726.00,"17-WB-4a",7,31,1,,
4022990.00,714726.00,"17-WB-4b",7,31,1,,
4023030.00,715290.00,"17-WB-5",4,21,,,
4023030.00,715290.00,"17-WB-5a",4,21,,,
4023030.00,715290.00,"17-WB-5b",4,21,,,
4023030.00,715290.00,"17-WB-5c",4,21,,,
4023030.00,715290.00,"17-WB-5d",4,21,,,
4023030.00,715290.00,"17-WB-5e",4,31,1,,
4019190.00,710755.00,"17-WB-6",7,31,1,,
4021040.00,711624.00,"17-WB-7",7,21,,,
4021040.00,711624.00,"17-WB-7a",7,21,,,
4021040.00,711624.00,"17-WB-7b",7,21,,,
4021040.00,711624.00,"17-WB-7c",7,21,,,
4021150.00,711933.00,"17-WB-8",7,31,1,,
4021150.00,711933.00,"17-WB-8a",7,31,1,,
4021150.00,711933.00,"17-WB-8b",7,31,1,,
4021310.00,712057.00,"17-WB-9",4,21,,,
4021310.00,712057.00,"17-WB-9a",4,21,,,
4021310.00,712057.00,"17-WB-9b",4,21,,,
4021580.00,712111.00,"17-WB-10",,21,,,
4024050.00,716253.00,"17-WB-100",,21,,,
4023990.00,716350.00,"17-WB-101",,31,1,,
4023730.00,716020.00,"17-WB-102",,31,1,,
4022270.00,713011.00,"17-WB-104",13,31,7,,
4022270.00,713011.00,"17-WB-104a",13,31,7,,
4022270.00,713011.00,"17-WB-104b",13,31,7,,
4022270.00,713011.00,"17-WB-104c",13,31,1,,
4022270.00,713011.00,"17-WB-104d",13,31,1,,
4022270.00,713011.00,"17-WB-104e",13,31,1,,
4022270.00,713011.00,"17-WB-104f",13,31,1,,
4022270.00,713011.00,"17-WB-104g",13,21,,,
4022200.00,712915.00,"17-WB-105",13,21,,,
4022200.00,712915.00,"17-WB-105a",13,26,,,
4022200.00,712915.00,"17-WB-105b",13,31,1,,
4022200.00,712915.00,"17-WB-105c",13,21,,,
4022160.00,712677.00,"17-WB-106",3,31,7,,
4021940.00,712383.00,"17-WB-107a",16,21,,,
4021940.00,712383.00,"17-WB-107b",16,26,,,
4021670.00,712397.00,"17-WB-108",4,21,,,
4021630.00,712384.00,"17-WB-109",3,31,1,,
4021630.00,712384.00,"17-WB-109a",3,21,,,
4021630.00,712384.00,"17-WB-109b",3,21,,,
4008890.00,707095.00,"17_LW_1",4,31,1,,
4022227.00,712984.33,"16-WB-216A",14,8,,,
4022227.00,712984.33,"16-WB-216B",14,31,3,,
4022227.00,712984.33,"16-WB-216C",14,31,1,,
4022227.00,712984.33,"16-WB-216D",14,31,6,,
4023750.00,715980.00,"17-WB-103",7,,,,
