"keyPhotoID","OutcropPhoto","Photomicrograph","CLImage","OtherImage","TSOverview","OtherDocument","WayptIDKey","MacrostructureID","SampleIDKey","TSDescID","PhotoLinkRelative2"
1473,0,0,0,0,1,0,825,277,260,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_104c_thick.jpg"
1474,0,0,0,0,1,0,825,277,260,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_104C_Thin.jpg"
1475,0,0,0,0,1,0,825,277,261,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_104d_thick.jpg"
1476,0,0,0,0,1,0,825,277,261,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_104D_thin.jpg"
1477,0,0,1,0,0,0,825,277,262,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_104E_CL_1.JPG"
1478,0,0,1,0,0,0,825,277,262,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_104E_CL_2.JPG"
1479,0,0,1,0,0,0,825,277,262,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_104E_CL_3.JPG"
1480,0,0,0,0,1,0,825,277,262,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_104E_NoCL.JPG"
1481,0,0,0,0,1,0,825,277,262,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_104e_thick.jpg"
1482,0,0,0,0,1,0,825,277,262,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_104E_Thin.jpg"
1483,0,0,0,0,1,0,825,277,263,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_104f_thick.jpg"
1484,0,0,0,0,1,0,825,277,263,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_104F_Thin.jpg"
1485,0,0,0,0,1,0,825,277,264,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_104g_thick.jpg"
1486,0,0,0,0,1,0,825,277,264,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_104G_Thin.jpg"
1487,0,0,0,0,1,0,827,277,266,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_105A_NoCL.JPG"
1488,0,0,0,0,1,0,827,277,266,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_105A_NoCL_1.JPG"
1489,0,0,0,0,1,0,827,277,266,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_105A_NoCL_2.JPG"
1490,0,0,0,0,1,0,827,277,266,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_105a_thick.jpg"
1491,0,0,0,0,1,0,827,277,266,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_105A_thin.jpg"
1492,0,0,0,0,1,0,827,277,267,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_105b_thick.jpg"
1493,0,0,0,0,1,0,827,277,267,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_105B_thin.jpg"
1494,0,0,0,0,1,0,827,277,268,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_wb_105c_thick.jpg"
1495,0,0,0,0,1,0,827,277,268,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWThickAndThinSections\17_WB_105C_Thin.jpg"
1496,0,0,1,0,0,0,830,279,269,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_106_CL.JPG"
1497,0,0,0,0,1,0,830,279,269,0,"\Photos\USTProject\2017SpringFieldPhotos\NEWCLImaging2017Samples\17_WB_106_NoCL.JPG"
